Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000
300,400,700,700,1000,2300,1600,2100,2500,5600,3200,4400,4600,9600,6400,6400,7400,8500,9300,19200,20400,22400,12800,25200,14700,15700,18100,17300,22300,41700,22100,46900,23900,47400,28600,60500,30400,68400,33900,33600,77100,38700,83300,46000,44000,44700,46800,99300,97500,61700,54600,60200,60600,59900,129100,119400,69100,182900,131600,141800,143600,153000,155900,161200,243600,176200,175900,182600,238400,197900,244500,139600,233600,195700,146800,257800,241200,167400,154800,154900,163700,140400,145900,158100,173300,287800,198000,214600,204800,193700,185000,199200,192600,177000,299100,359000,246200,212800,243000,297900
200,400,800,1200,800,2300,1600,2000,4800,3000,3300,3900,4500,9800,5800,6600,7100,8400,9800,17900,19500,22000,11800,37400,15500,16000,17200,18700,27300,28900,21600,45100,24100,81700,42200,30400,35500,33100,36500,38600,42600,37200,40900,41500,87100,97900,51000,84200,95600,54200,65000,56500,63000,64000,84600,121200,69700,139400,147700,139000,153200,183800,158100,165700,183000,168800,185500,183700,193600,208400,194000,135700,130100,148600,132400,163100,267600,152200,153600,164900,161000,155800,174500,249400,197400,196900,147000,196500,201900,208000,271400,181300,212300,220100,375900,188400,315300,198900,224500,206900
100,400,600,1300,900,2000,1700,2000,4100,3000,3500,4000,4600,9700,5500,6500,7300,7800,14500,17600,21000,23500,22300,14300,21400,30300,19200,26100,46500,20600,45300,23200,22900,25500,30000,34700,30000,64100,33400,36300,37400,48200,39600,39500,44700,109800,50100,86300,90900,51400,55700,58300,70100,121300,122100,125900,67700,161700,81600,147000,148400,151200,150000,186900,178800,179800,332400,189700,208300,195000,192900,121500,133100,142000,156200,250000,146300,151500,295200,280000,316000,141700,147200,145800,171300,183300,162200,235700,354600,320200,321900,352100,258900,384900,186300,216400,371600,250600,217200,284800
200,400,800,1100,1000,1900,1500,1900,2600,2600,3300,5200,9000,9700,5800,6300,7300,14800,17200,20200,20700,22100,25900,13700,14600,50300,37100,27800,39000,43100,44200,43700,23800,25000,31300,57100,113500,32300,73800,34300,37100,39600,73700,47300,42100,46000,49300,90300,89000,102200,55200,62600,64500,92100,111700,115300,77400,121300,137000,135900,147500,157400,156100,152400,171400,174000,167200,178300,183100,187900,216000,236500,131400,129300,135400,270800,155300,151500,176300,155200,155200,167000,139400,300400,187200,193800,180700,193000,322300,173000,180100,373200,223100,204800,199800,209600,207500,213300,202400,200000
200,400,700,1200,1000,2000,1500,2100,2300,2900,3400,7700,4700,10100,5900,6700,7300,15300,19100,17700,21500,21800,12900,27300,14200,31600,34100,18900,38900,41100,41500,45400,24400,51100,28200,55200,32400,30400,64400,36300,39300,73000,74100,82000,58500,57000,88000,55200,94900,53800,57800,58000,59700,93000,111900,112700,119800,127500,124200,135300,151400,156500,161300,159100,160600,186300,205000,173200,221400,621600,214500,166300,128800,209800,164300,143800,159500,149700,146400,152700,153300,136900,177500,168800,164500,314400,324800,184600,176900,326500,165000,172800,198000,313600,283700,199200,331300,328900,227200,216400
100,500,700,1000,1000,2200,1600,1900,2400,2800,3400,3900,4900,10300,5900,6900,7300,16700,9200,18400,10500,21100,23200,18400,26800,16000,33100,18300,35700,40600,39000,48900,24200,25800,26700,51900,31300,31500,65500,67700,37400,65700,73900,43600,89100,45100,54100,49100,104700,55200,57600,63700,61300,71000,129300,119900,129800,138300,129100,137600,149600,158200,156700,162300,163100,164200,175200,172900,184500,188100,213800,124400,129600,226200,140200,138700,152800,168200,150600,151200,281400,137700,144800,265900,176800,273900,337600,218400,164900,340900,173900,179100,175900,227200,327200,354500,308500,198900,398500,409900
200,400,700,1200,1100,2400,1600,1900,2400,2800,3400,3800,4700,8900,5500,6700,7600,8300,9200,17500,9800,21600,25000,14000,29600,16000,37700,47600,19500,41000,21400,22600,23200,29600,29000,51700,61900,31200,65300,79800,37700,39000,82000,42400,67300,45200,57900,49100,91100,60700,53600,59400,66300,61400,118800,113700,123500,79000,126100,131900,144800,153300,152200,155700,161100,166000,190900,182500,190900,185500,213200,140600,125200,205600,156600,141100,144500,147600,164500,153900,183400,158500,292900,246000,171000,202400,159300,189600,164100,305400,185600,376900,176900,183200,306100,195000,196400,332600,258500,233600
200,400,500,1000,1000,2100,1600,2000,2700,4700,3100,3800,5000,9900,7000,12900,7100,7800,9400,18000,20700,21100,27100,14200,33300,16600,16700,19100,19200,38300,22400,23500,27600,25300,52200,49900,58000,31900,63800,63500,37000,38500,41600,41500,90000,49400,48300,51500,93300,53200,65000,57900,60500,63300,112600,134100,117200,74100,149200,134800,153900,145300,152700,165400,169100,171600,180300,188300,199400,206400,204400,126400,123300,265100,150100,153500,146100,265000,149800,276100,281700,161500,230600,177600,164800,174100,164800,230000,162500,354200,202900,202700,198300,209100,332500,219200,207900,355000,225700,203700
200,400,800,1200,900,2100,1600,2000,2900,2900,3300,3700,4600,20300,6100,6900,7100,8900,18300,19100,20400,20900,21800,14300,26800,15700,17600,30000,20000,20800,23000,24700,24100,26200,57900,52600,60300,30700,66200,37000,36200,86700,40700,42700,79400,101000,105400,49800,89600,53400,62000,60000,60500,67900,114500,72200,130400,164300,117500,138200,140000,272500,166400,164400,165000,253000,171000,175400,189400,193800,200300,134300,134700,148000,138700,215300,149300,246600,144100,158000,180200,156100,143100,150800,211300,174600,160400,159200,166200,340000,338900,247400,332300,326900,301400,302700,192100,195300,206000,225900
100,400,800,1200,1000,2200,1800,2100,2500,2900,3500,4100,8200,9600,5600,6000,7200,8200,16300,19000,19800,22200,13300,13800,29300,15900,17000,18300,19700,19500,21900,23800,25400,25100,27100,57400,31100,31500,71600,49200,85200,46700,91600,41500,46300,44300,76400,48500,90800,157200,102100,57200,66100,62800,117400,66100,122300,135800,133300,137100,151800,155700,166200,160100,158200,170900,177900,182900,190900,192500,197900,131200,185100,134000,142100,141900,152400,227800,161100,152300,178500,142100,165800,151400,167500,174000,188000,165200,176900,284200,187100,234000,355900,184100,374000,319300,191000,325000,216500,413000
