Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000
400,800,1400,1900,2400,3900,5000,6700,6400,7700,8400,9700,13500,14400,13500,15700,16200,17800,20300,21500,23300,25300,32200,28800,36400,34100,37600,37200,44100,43000,46400,48600,53000,54900,54800,58300,66700,66500,67600,79400,73500,76800,78000,85400,85400,88400,92500,102400,114100,118900,110000,111800,114800,133400,124800,136700,141300,142500,141700,140700,149300,176400,157300,163500,165500,267700,187700,193100,202200,212300,203600,210200,227300,220500,237100,222000,238600,235800,249600,263400,260000,270700,262700,276400,280000,279500,288600,322300,327600,307800,354100,308200,322500,327800,336400,361300,351600,370100,385100,393300
300,800,1300,1800,2100,3500,4500,6300,6100,7300,7900,10200,13300,12200,17200,15100,16700,18600,20600,22000,23500,25700,31300,29700,36100,34000,36500,38100,46300,43400,44900,48300,56500,54800,55400,58100,70100,65000,67400,79500,75000,75400,80100,94000,91400,92200,102400,105700,100800,118000,118900,120500,119900,119900,127500,125300,130500,150300,148300,156300,152300,159400,159100,170200,177600,176200,197400,199300,189900,246800,191000,202600,222900,211400,233300,296200,245400,239400,255700,295800,248800,274700,261200,286500,283900,285800,288200,298000,305800,328000,313200,311500,456900,331700,335600,359500,365600,355300,377200,385000
300,800,1300,1600,2100,3100,4700,6200,6200,7500,8100,9900,12900,14800,16500,15200,16300,18600,20100,22300,24700,25100,31500,29500,36600,34900,36500,38200,47100,43800,44000,47800,56400,54400,55800,66400,69300,71500,66900,82200,75300,77600,77900,91900,94700,90100,105100,106300,96700,111900,107200,111100,119200,132200,127400,130200,135900,152300,152200,143400,151900,159000,157000,169600,179500,166700,188600,198400,216400,191900,194000,219700,222500,213000,231300,234900,240800,236600,239100,254000,247500,272700,257700,270500,268400,307300,304400,518100,314100,297600,305800,318800,334800,330100,352300,358800,342500,380000,361300,387100
300,700,1400,1800,2500,3300,4400,6600,6000,7600,8300,9700,13600,14200,16400,14900,16800,17900,20100,26400,24600,25200,32300,29300,36300,33800,41400,39300,47200,43500,51400,56000,57600,55000,57400,67000,75500,71300,66100,79200,90900,76200,82700,83400,88000,92000,93600,106100,99200,104200,108900,163000,115500,131400,142900,125600,132100,135000,146300,153200,146300,154100,156100,170800,166800,170700,188700,199700,204900,188000,193400,282400,219800,213100,260900,236400,228300,251200,277100,239000,292500,302900,257100,262500,282100,277000,297700,1.1478e+06,323600,309300,346700,349200,329500,339300,335000,358900,407700,358800,475300,396100
300,800,1300,1700,2300,3300,3900,6100,6100,7300,7900,9600,13000,15100,16100,14700,16500,19400,19800,21300,23600,25900,32500,31200,34800,39600,36300,37600,45500,60900,45900,49600,63500,53900,56000,65600,75500,71900,67200,74200,83000,74800,79700,94100,96900,93800,91900,108800,101100,110100,111300,114900,116000,130700,150100,131400,147900,149500,142500,149400,147300,149900,160200,174600,169900,176900,175400,181600,181900,188600,196700,215500,214100,210400,219700,226400,224800,233500,239100,244600,364900,251700,255900,264500,269800,276300,281900,315500,319300,308200,304900,324500,419700,330200,342600,360600,468700,358400,429200,395100
200,800,1300,1500,2400,3400,4000,6600,5900,7700,8300,9600,11900,15900,16400,14900,16200,18800,20300,22500,23700,25200,32500,29900,37500,35400,38700,37800,39300,41800,51200,48000,56800,53900,57000,62500,70600,71900,66300,69500,82300,75100,80900,93800,98900,178500,93300,99000,99000,117100,107800,268400,115200,132500,129300,129800,136200,148900,148800,146200,149000,154200,156600,177000,195800,168800,175300,179200,188200,190600,196000,211700,228400,222200,232300,225700,245400,237500,266600,242700,264300,273700,272000,270900,289600,284100,290800,931500,320000,297100,330600,358100,412300,326200,361600,356900,345100,547600,396400,384100
200,700,1300,1700,2400,3500,3800,6600,6200,6800,8300,9500,11000,14800,16500,15300,16100,18900,20100,26400,23300,25200,32300,31000,41900,33400,35900,43600,40200,46300,52300,48200,57500,53100,56100,59400,72700,76600,68000,69100,75100,87200,90100,93300,98200,89900,92800,99000,105400,102900,116700,118100,116800,129500,156300,130800,132900,148600,140100,149900,154400,154200,160400,186400,185100,175500,200700,196100,193400,208500,214000,204900,204800,207200,215100,246100,233100,232000,246200,242500,250300,292200,280100,273300,396200,282800,289200,443100,314200,305800,408500,309000,422100,323700,336700,403600,637300,348600,461700,383600
300,700,1400,1800,2400,3300,4100,6100,6400,7300,8200,9000,10300,14700,17200,15300,19900,19300,20300,25100,24000,25400,32400,30500,37100,34200,36200,43000,41200,47300,47700,49900,57900,56900,62800,66700,70400,72400,67600,72900,74000,78600,92000,91000,88100,88600,91900,98300,99300,108600,109400,109800,115800,131400,120400,128800,146100,152900,152800,146200,149800,171300,157400,216000,181000,169800,187300,182900,185100,203700,199900,202800,212300,220600,216900,222800,227900,238200,235700,250300,251000,255100,301000,266800,270100,278000,289000,541600,403100,303000,305800,314100,568300,332900,339300,352500,353200,356100,362600,391000
200,700,1500,1800,2100,3200,3700,6700,6100,8900,8500,9800,11400,14700,17200,22900,19300,18700,20300,24300,24000,26100,32700,30700,36400,34400,35000,46200,40500,42100,46600,51700,57900,52500,54000,65700,71300,72700,67300,71300,72500,74800,82800,82700,88300,89600,94400,96300,101500,106800,119800,114100,118200,150600,125300,131800,136300,145100,154100,146900,150000,164700,209700,166200,169400,169700,187200,194400,185400,189400,194000,220300,209700,218000,220800,232800,306600,256700,239200,265100,254600,254700,262000,264500,271300,286600,302300,724500,301000,318800,306300,323600,396700,327500,350900,341700,352000,347700,367000,447800
200,600,1400,1600,2500,3500,4300,6200,6000,8900,9700,9600,10600,14300,16900,41400,20400,18600,20400,25800,24200,25600,31400,32800,36300,34100,37800,43800,39500,43400,52900,50400,58200,56300,55300,66300,70800,63200,68300,71900,79700,87500,77500,82800,86600,87000,104400,98000,99400,102500,105800,113400,116200,118000,127100,128100,135600,136800,151800,143800,156300,150400,156200,166000,169400,170500,178900,192200,214300,189900,193100,236200,223300,217400,228700,220100,244000,233600,234400,242300,254500,253200,282300,264600,280400,281900,312000,769700,297000,302500,322000,334700,338500,352900,332800,344900,537700,352000,362100,363800
