Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000
2900,3200,5900,8100,9300,12600,14200,15300,17500,19000,20700,22700,24500,31000,31100,29100,33000,34000,36100,36100,39500,40500,42500,44200,45900,47400,49200,53600,54000,57100,57600,60900,59800,64600,67300,72700,71300,72900,72800,78900,76900,79100,90700,84100,85400,87300,93800,93200,93400,94100,105700,128000,106000,106600,106600,108600,118900,109600,112700,118400,123100,120000,120700,132300,121500,130900,130600,130900,137400,141900,148900,141600,141000,146600,141800,146900,145900,150200,160600,154000,161200,157400,161500,168900,168000,307500,165200,178800,184500,177300,206600,178000,181700,189800,183600,191200,187500,205000,211100,199700
2600,3000,5000,6200,8200,10200,12600,12700,16000,16600,18100,20500,22700,26400,27200,27200,30300,30900,32900,34700,37100,37700,41200,41600,44000,44900,47300,50200,52100,53400,54600,55600,60400,64000,64000,79100,67000,70400,69400,74700,74100,74700,79100,80900,83300,85000,85600,88200,90700,92800,94200,97500,102000,102400,101600,102200,106100,107300,190600,117400,120900,115100,117200,156800,119800,122800,128300,129100,129900,209000,136400,138900,143100,142800,144800,170000,143700,276100,147700,153800,157300,154700,158000,160800,186600,174900,161600,169400,169800,175000,176100,175400,238700,181700,177800,187300,184700,188700,215900,191000
1500,2900,4600,6000,9900,10400,11900,13100,15300,16400,18100,20200,22300,23900,26600,26900,29400,30500,32900,33700,35800,37800,39200,41100,43900,44800,64400,49900,51500,52900,57500,58700,60200,62500,62000,70200,66600,68400,69400,74500,74400,75500,89700,85900,82600,84700,89000,93800,90800,90400,111200,95600,101700,100100,100900,102500,111400,110200,111200,116600,138600,119200,123800,121300,124400,125400,123500,127500,159400,136700,133400,136700,139900,137700,145600,143000,142400,153200,147400,154600,156800,152700,226600,171300,163100,184900,170900,292100,170600,182600,171600,182200,192000,181600,181900,187200,183700,195600,194000,199400
1300,3100,4700,6400,7700,10100,11900,12700,14900,16100,18100,19800,22500,23300,26000,27400,29300,30000,32500,37000,36400,37900,39600,41600,43100,51000,53600,49700,70600,52800,66000,56100,60500,62800,62000,64300,65800,70400,82200,76100,95200,75200,78900,80200,95200,83200,99000,91900,92800,89900,94900,136400,103400,99900,121700,103100,107500,110900,113000,111000,120100,116800,116200,132500,132400,123100,124200,130300,135700,134500,131300,203900,136900,155300,139100,142100,155600,147500,147300,157700,155800,157500,158400,169600,193300,165900,170100,1.2362e+06,177100,175300,185800,176700,220400,179100,181500,186200,242000,187100,256200,189000
1300,2800,5000,5900,7600,10300,11800,12400,15200,15900,17700,19800,28100,23400,26300,26900,30000,30400,32400,58600,36200,37400,39400,41500,43600,47300,49100,49600,51500,74800,56700,55900,60300,62900,62800,64700,67500,67600,74800,73700,100500,75400,78500,81100,84700,83800,88400,91000,92100,89800,95200,100200,101900,99300,128200,101800,105800,106900,113500,116500,116900,116100,116200,117500,124800,123700,127000,128700,128800,132000,140500,167500,139100,139600,140800,144400,149800,148100,162200,155400,156700,154700,159400,180100,160700,169300,171500,174900,172500,175400,180500,173800,210800,178600,307300,188500,429600,188400,227600,201000
1400,3000,4500,6000,8000,9900,11900,12600,15300,16200,18100,19500,21700,23700,26100,26600,29600,31100,32000,44800,36700,37900,39700,40700,45900,46800,49300,49600,55600,68600,56900,55200,60200,62300,62400,65800,66000,68200,73400,72400,99900,78800,81600,79400,81600,88200,87300,90600,92800,91000,99100,166500,102100,99100,113800,103600,109800,108100,113400,114300,115400,117900,118600,115400,118600,145700,124700,127100,128200,131700,138200,136400,142100,139400,141000,163300,153300,146500,154400,153200,162200,156600,158800,180300,186100,209800,169500,345600,171800,168400,171100,178100,207000,180000,212000,183800,314100,363900,211800,191300
1200,3000,4400,6300,7700,10300,11300,12700,14900,16300,22300,19600,21100,24900,26100,26100,29300,30600,32300,36300,36400,37800,38900,41000,44800,46700,48200,49600,52600,56600,72100,56200,61300,62900,62100,65300,65500,66900,72500,72100,73900,84600,87900,79100,87900,85100,85400,88000,92300,90700,104700,106900,101900,98500,168800,103500,106800,125700,115300,113500,113100,115100,116000,118800,120800,126600,126900,130100,128800,200500,137700,134300,160800,141200,141800,145100,144700,237600,147800,155100,161800,197500,154700,157600,180700,163700,169900,289900,208800,171900,175100,174800,196500,183700,182500,294300,316000,186300,194700,195900
1200,2800,4400,5900,7700,10100,11800,12300,14700,21300,18300,19900,21400,24300,27200,26700,31300,29800,32600,34500,36300,37600,39000,41800,43300,47300,49200,49100,52200,55100,56300,55300,61700,61800,72300,66400,67200,67200,72000,72400,75500,78100,78100,143000,81900,84700,84000,90100,92600,99500,100100,103600,100200,99300,101300,103100,118700,108900,111600,111400,113200,119000,116200,130700,136000,229700,122500,127000,131400,134900,137800,142000,138400,168900,138600,153100,151400,146000,149600,155800,153100,157600,187700,157600,166600,163200,170300,297100,198100,170900,170700,175500,457000,184200,182500,181100,186800,186900,190000,190800
1300,2800,4900,5900,8000,10000,11900,12400,15200,15600,22800,19500,21200,24600,26400,30400,30900,30600,32300,33900,37100,37100,40500,41700,43700,46800,48100,49500,58800,57900,65700,56400,61700,60600,61500,66800,67100,67900,73000,73500,74700,76600,78100,82600,84600,85100,85500,88100,91700,130300,93500,95600,99700,173200,101100,103200,113300,107100,140900,110900,113800,117000,118600,117500,130100,126200,122800,136300,131700,131800,247200,138900,135700,141300,145400,140100,145000,156100,149300,156200,153900,160200,158400,158400,163000,162800,182000,321100,174400,170700,170300,176200,205400,182400,180200,231000,269300,186900,201400,196200
1200,3000,4600,5800,7500,10000,11900,12400,15100,16100,18700,19500,21600,23900,25300,35200,30900,31400,32100,33300,36000,37600,40000,42200,43600,47000,48500,48900,50300,54700,55700,55400,59600,61100,61500,69200,67500,78800,70800,72600,77600,87700,80300,82300,85900,88300,94400,87400,91400,90300,96300,97000,100000,104800,101100,103300,110900,108800,110400,111600,115100,123800,115600,116600,128500,125000,127200,128600,150300,133000,136100,135200,137000,138200,141300,163100,149600,186700,158900,157700,150700,155100,195000,164800,162900,171800,164500,324700,206800,177000,174000,204700,248700,181400,241100,181900,341800,187500,189500,189700
